asset_path,sha256,source,license,generation_tool,edit_status
Assets/_JustSomeStars/Audio/Music/aster-veil-signal-signal-stem.wav,f824ce86dddd29eb7231662d1cfbf3132d0a9d11fb45be9492191f89f4efb36e,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/Music/aster-veil-signal.wav,461cdc43dee1d255fd45e6cdd5953a8939b8cba11898722f02073a89b65c2064,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/Music/clubhouse-before-dinner-signal-stem.wav,c177f05aaa660cada51f2b01982f193c54bb1fca2cb8c4ca770fbe490d3fe9b3,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/Music/clubhouse-before-dinner.wav,5cdbf68766aeb8dc82066dd66caebb20dc805f5e0a29d9db8886b176040b13e6,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/Music/dinner-homecoming-signal-stem.wav,3a55f5fadc8314ad3d0d1930be081949010642507a0d9dba5a025bd84e76e25a,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/Music/dinner-homecoming.wav,d977c8d4143a694a241a025356a4a6fe1baab193877290e01835a4ed6ac24dcc,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/Music/koro-vesper-orbit-signal-stem.wav,c2a20f8ea1b307b7b7d90c0277e509da0db9b1d240fe6e456b4ee6302c54d213,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/Music/koro-vesper-orbit.wav,cff3b136be3256e6b0af6b6deefcaeec49aa57ebcf7ece45f59bf17024c7ccc3,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/Music/mirra-warm-cold-horizon-signal-stem.wav,a3357de2505fb799f434685c4ad427a87f7e9a1c594b7818f9be8d65671a6712,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/Music/mirra-warm-cold-horizon.wav,9c8d593d9abb5dd5a6b8c5f8acad6aa21676de1ee116adb8a935d0e5cabc6bc4,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/SFX/footstep-ice.wav,c861803e832d16679e285500755eb14acdcd1d8598f9f3ffd8fe30310024d00a,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/SFX/footstep-soil.wav,558126a968376b49d474ebfcaa818b3906afcdd98e7eba6375ac9b220d86b8e8,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/SFX/interaction-release.wav,ab30e88cfe0c0ac80a7dcb6314672803eb93d880550cdf90a9ccc9e8dca34903,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/SFX/lens-focus.wav,f14706a58e84385489667c2a16d407290b32619ed6e77ae59712914ba019fa4e,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
Assets/_JustSomeStars/Audio/SFX/signal-pulse.wav,e9d8cd7673fb60ae4c5adb520e8566f82dcae5f6ad2844d75c97ca989ba7e61f,Original project-authored deterministic synthesis; no samples,Copyright ScientificAJ; original project asset,tools/media/generate_task29_audio.py,generated-mixed-loop-checked
